# Simulation for trace KTH-SP2 started Tue Jun 30 18:17:22 CDT 2020
# [Machine] 
# SimpleMachine with 100 processors
# [Scheduler] 
# Priority Queue Scheduler
# Comparator: FIFOComparator
# [Allocator] 
# Simple Allocator

# Job 	Arrival	Start	End	Run	Wait	Resp.	Procs	S-FST	R-FST
116	674937	674937	674963	26	0	26	16	0	0
119	675029	675029	675071	42	0	42	16	0	0
118	675026	675026	675077	51	0	51	4	0	0
120	675146	675146	675160	14	0	14	16	0	0
121	675155	675155	675165	10	0	10	25	0	0
122	675159	675159	675199	40	0	40	24	0	0
114	673896	673896	675207	1311	0	1311	1	0	0
123	675396	675396	675407	11	0	11	25	0	0
124	675454	675454	675485	31	0	31	25	0	0
125	675456	675456	675507	51	0	51	25	0	0
126	675520	675520	675649	129	0	129	36	0	0
115	674779	674779	675654	875	0	875	1	0	0
127	675545	675649	675760	111	104	215	36	0	0
128	675553	675760	675919	159	207	366	36	0	0
132	675870	675919	675925	6	49	55	4	0	0
131	675800	675919	675932	13	119	132	1	0	0
117	675019	675019	675962	943	0	943	1	0	0
112	672757	672757	675978	3221	0	3221	9	0	0
111	672697	672697	675979	3282	0	3282	9	0	0
129	675568	675919	676079	160	351	511	36	0	0
130	675630	675919	676080	161	289	450	4	0	0
133	676249	676249	676261	12	0	12	1	0	0
135	676769	676769	676810	41	0	41	4	0	0
136	677072	677072	677100	28	0	28	4	0	0
137	677169	677169	677186	17	0	17	4	0	0
138	677191	677191	677215	24	0	24	4	0	0
139	677261	677261	677292	31	0	31	4	0	0
140	677275	677275	677293	18	0	18	4	0	0
141	677339	677339	677342	3	0	3	6	0	0
142	677349	677349	677363	14	0	14	6	0	0
144	677396	677396	677400	4	0	4	6	0	0
143	677371	677371	677420	49	0	49	6	0	0
146	677442	677442	677450	8	0	8	8	0	0
145	677435	677435	677477	42	0	42	8	0	0
147	677505	677505	677531	26	0	26	8	0	0
148	677626	677626	677858	232	0	232	1	0	0
134	676410	676410	688186	11776	0	11776	16	0	0
149	677849	688186	690683	2497	10337	12834	79	0	0
151	678532	690683	694251	3568	12151	15719	4	0	0
150	678506	690683	699453	8770	12177	20947	80	0	0
153	679036	699453	699476	23	20417	20440	10	0	0
155	679422	699476	700308	832	20054	20886	8	0	0
156	679654	700308	700873	565	20654	21219	2	0	0
157	680070	700308	702883	2575	20238	22813	1	0	0
154	679171	699476	703607	4131	20305	24436	1	0	0
152	678633	699453	708100	8647	20820	29467	80	0	0
159	680636	708100	708535	435	27464	27899	3	0	0
160	681072	708535	709342	807	27463	28270	16	0	0
158	680634	708100	714778	6678	27466	34144	72	0	0
162	681218	714778	715351	573	33560	34133	4	0	0
163	681889	715351	715877	526	33462	33988	5	0	0
164	682029	715877	715900	23	33848	33871	5	0	0
113	673536	673536	717792	44256	0	44256	5	0	0
161	681117	714778	724380	9602	33661	43263	82	0	0
173	684772	724380	724383	3	39608	39611	16	0	0
168	683023	724380	724394	14	41357	41371	4	0	0
169	683138	724380	724404	24	41242	41266	2	0	0
170	683944	724380	724405	25	40436	40461	4	0	0
166	682425	724380	724411	31	41955	41986	1	0	0
165	682035	724380	724936	556	42345	42901	32	0	0
171	684160	724380	724937	557	40220	40777	2	0	0
172	684164	724380	725208	828	40216	41044	4	0	0
178	686413	724394	725261	867	37981	38848	1	0	0
176	685099	724383	725270	887	39284	40171	8	0	0
174	685008	724383	725439	1056	39375	40431	16	0	0
175	685063	724383	725549	1166	39320	40486	2	0	0
179	686684	724394	725865	1471	37710	39181	1	0	0
177	686100	724394	726109	1715	38294	40009	5	0	0
180	687387	724405	727224	2819	37018	39837	4	0	0
181	688099	725439	727730	2291	37340	39631	64	0	0
190	690920	727730	727752	22	36810	36832	2	0	0
186	689477	727730	727754	24	38253	38277	4	0	0
187	690116	727730	727756	26	37614	37640	2	0	0
191	691249	727754	727791	37	36505	36542	16	0	0
192	691278	727791	727823	32	36513	36545	16	0	0
182	688325	727730	727832	102	39405	39507	16	0	0
194	691345	727832	727869	37	36487	36524	16	0	0
184	688891	727730	727893	163	38839	39002	10	0	0
195	691346	727869	727902	33	36523	36556	16	0	0
197	691503	727902	727938	36	36399	36435	10	0	0
193	691311	727823	727941	118	36512	36630	16	0	0
198	691539	727938	727972	34	36399	36433	10	0	0
199	691596	727941	727976	35	36345	36380	10	0	0
200	691608	727941	727981	40	36333	36373	10	0	0
205	692234	727976	728004	28	35742	35770	2	0	0
196	691383	727902	728018	116	36519	36635	16	0	0
201	691683	727972	728026	54	36289	36343	4	0	0
204	691733	727976	728026	50	36243	36293	4	0	0
202	691712	727972	728050	78	36260	36338	4	0	0
203	691719	727976	728056	80	36257	36337	4	0	0
210	697996	728056	728083	27	30060	30087	2	0	0
207	695808	728018	728159	141	32210	32351	16	0	0
209	697153	728050	728245	195	30897	31092	16	0	0
211	698113	728159	728919	760	30046	30806	16	0	0
206	695254	727981	729316	1335	32727	34062	8	0	0
212	698437	728245	729387	1142	29808	30950	8	0	0
185	689008	727730	730101	2371	38722	41093	4	0	0
208	696924	728018	730692	2674	31094	33768	2	0	0
213	698561	728919	733185	4266	30358	34624	24	0	0
217	699529	733185	733197	12	33656	33668	4	0	0
218	699929	733185	733204	19	33256	33275	4	0	0
183	688771	727730	733587	5857	38959	44816	10	0	0
214	699110	733185	733710	525	34075	34600	32	0	0
189	690791	727730	740985	13255	36939	50194	9	0	0
188	690738	727730	741475	13745	36992	50737	9	0	0
219	699952	741475	741504	29	41523	41552	64	0	0
229	702050	741504	741506	2	39454	39456	2	0	0
227	701510	741504	741510	6	39994	40000	2	0	0
228	701786	741504	741519	15	39718	39733	2	0	0
226	701455	741504	741522	18	40049	40067	4	0	0
223	700507	741504	741525	21	40997	41018	2	0	0
222	700286	741504	741527	23	41218	41241	2	0	0
225	700885	741504	741529	25	40619	40644	2	0	0
230	702229	741504	741529	25	39275	39300	2	0	0
234	709940	741506	741531	25	31566	31591	16	0	0
232	704094	741504	741532	28	37410	37438	4	0	0
224	700553	741504	741533	29	40951	40980	4	0	0
238	719779	741531	741546	15	21752	21767	2	0	0
240	721102	741531	741551	20	20429	20449	2	0	0
237	719384	741531	741552	21	22147	22168	4	0	0
239	720818	741531	741552	21	20713	20734	2	0	0
243	725037	741532	741835	303	16495	16798	2	0	0
244	725114	741835	741855	20	16721	16741	16	0	0
245	725311	741855	741872	17	16544	16561	2	0	0
235	713601	741522	742115	593	27921	28514	8	0	0
220	700149	741504	742483	979	41355	42334	5	0	0
236	714393	741529	742499	970	27136	28106	9	0	0
246	725470	741872	742533	661	16402	17063	16	0	0
221	700266	741504	742586	1082	41238	42320	5	0	0
242	724650	741532	743303	1771	16882	18653	2	0	0
241	722804	741531	744669	3138	18727	21865	5	0	0
215	699496	733185	745146	11961	33689	45650	4	0	0
247	727216	742533	752078	9545	15317	24862	25	0	0
231	703359	741504	752806	11302	38145	49447	1	0	0
233	706229	741504	754325	12821	35275	48096	16	0	0
216	699510	733185	762103	28918	33675	62593	6	0	0
248	728643	744669	763736	19067	16026	35093	24	0	0
167	682942	724380	764802	40422	41438	81860	17	0	0
255	765383	765383	765392	9	0	9	4	0	0
254	765379	765379	765393	14	0	14	1	0	0
256	765395	765395	765408	13	0	13	9	0	0
257	765421	765421	765441	20	0	20	16	0	0
258	765462	765462	765483	21	0	21	25	0	0
259	765473	765483	765509	26	10	36	36	0	0
260	765509	765509	765538	29	0	29	49	0	0
250	757777	757777	771004	13227	0	13227	9	0	0
249	757680	757680	771451	13771	0	13771	9	0	0
261	765527	771451	771470	19	5924	5943	64	0	0
264	769605	771470	771494	24	1865	1889	8	0	0
262	765848	771470	779656	8186	5622	13808	10	0	0
253	764488	764488	788446	23958	0	23958	3	0	0
265	772461	788446	788846	400	15985	16385	64	0	0
269	779477	788846	788860	14	9369	9383	2	0	0
274	779779	788846	788861	15	9067	9082	2	0	0
276	780291	788846	788865	19	8555	8574	4	0	0
275	780086	788846	788876	30	8760	8790	4	0	0
266	773345	788846	788891	45	15501	15546	4	0	0
273	779757	788846	788897	51	9089	9140	2	0	0
271	779544	788846	788899	53	9302	9355	2	0	0
278	781718	788891	788903	12	7173	7185	2	0	0
279	782296	788891	788915	24	6595	6619	1	0	0
280	782304	788891	788921	30	6587	6617	2	0	0
281	782365	788899	788929	30	6534	6564	4	0	0
282	782374	788929	788950	21	6555	6576	6	0	0
283	782441	788950	788973	23	6509	6532	8	0	0
268	775940	788846	789106	260	12906	13166	1	0	0
284	782447	789106	789124	18	6659	6677	10	0	0
285	782634	789124	789143	19	6490	6509	10	0	0
286	782666	789143	789162	19	6477	6496	4	0	0
287	782675	789143	789168	25	6468	6493	6	0	0
288	782680	789168	789185	17	6488	6505	8	0	0
289	782718	789168	789189	21	6450	6471	1	0	0
293	784292	789185	789199	14	4893	4907	4	0	0
291	784241	789185	789200	15	4944	4959	1	0	0
290	782723	789185	789201	16	6462	6478	2	0	0
292	784286	789185	789205	20	4899	4919	2	0	0
294	784343	789200	789214	14	4857	4871	6	0	0
295	784400	789214	789230	16	4814	4830	8	0	0
296	784425	789230	789245	15	4805	4820	10	0	0
272	779751	788846	789329	483	9095	9578	2	0	0
270	779539	788846	789336	490	9307	9797	2	0	0
277	781187	788876	791593	2717	7689	10406	32	0	0
267	775171	788846	796782	7936	13675	21611	20	0	0
297	784488	796782	797231	449	12294	12743	64	0	0
303	785246	797231	797237	6	11985	11991	4	0	0
302	784884	797231	797242	11	12347	12358	4	0	0
306	788189	797231	797244	13	9042	9055	4	0	0
308	788683	797231	797244	13	8548	8561	4	0	0
309	788734	797231	797245	14	8497	8511	4	0	0
304	785272	797231	797246	15	11959	11974	4	0	0
305	788144	797231	797248	17	9087	9104	4	0	0
316	792085	797242	797250	8	5157	5165	4	0	0
298	784754	797231	797252	21	12477	12498	4	0	0
301	784816	797231	797253	22	12415	12437	4	0	0
311	789402	797231	797253	22	7829	7851	4	0	0
314	791072	797231	797260	29	6159	6188	4	0	0
299	784812	797231	797279	48	12419	12467	4	0	0
310	788900	797231	797283	52	8331	8383	4	0	0
312	789621	797231	797284	53	7610	7663	4	0	0
313	790585	797231	797285	54	6646	6700	4	0	0
315	792010	797237	797295	58	5227	5285	4	0	0
317	792366	797253	800002	2749	4887	7636	32	0	0
320	794258	800002	800064	62	5744	5806	4	0	0
307	788534	797231	800223	2992	8697	11689	1	0	0
325	796097	800223	800279	56	4126	4182	2	0	0
326	796098	800279	800295	16	4181	4197	2	0	0
324	796095	800064	800595	531	3969	4500	2	0	0
322	796055	800002	800871	869	3947	4816	2	0	0
323	796057	800064	800932	868	4007	4875	2	0	0
300	784815	797231	801176	3945	12416	16361	4	0	0
318	792997	797284	805681	8397	4287	12684	20	0	0
327	796179	805681	805686	5	9502	9507	16	0	0
332	803443	805686	805697	11	2243	2254	2	0	0
335	803695	805697	805702	5	2002	2007	4	0	0
333	803568	805686	805705	19	2118	2137	4	0	0
336	803721	805702	805708	6	1981	1987	4	0	0
338	803751	805708	805713	5	1957	1962	4	0	0
337	803750	805705	805723	18	1955	1973	4	0	0
339	803764	805713	805731	18	1949	1967	4	0	0
341	803867	805723	805735	12	1856	1868	2	0	0
340	803856	805723	805736	13	1867	1880	2	0	0
252	761662	761662	805788	44126	0	44126	16	0	0
330	797320	805681	807425	1744	8361	10105	2	0	0
251	761163	761163	808211	47048	0	47048	8	0	0
329	797300	805681	809235	3554	8381	11935	2	0	0
263	768832	771470	812801	41331	2638	43969	5	0	0
343	812979	812979	812991	12	0	12	12	0	0
319	793915	800002	814346	14344	6087	20431	18	0	0
16	600476	600476	815813	215337	0	215337	5	0	0
328	796560	805681	828595	22914	9121	32035	8	0	0
342	810472	810472	829609	19137	0	19137	22	0	0
321	795214	800002	830135	30133	4788	34921	16	0	0
344	838378	838378	838387	9	0	9	4	0	0
345	838525	838525	838575	50	0	50	4	0	0
347	839000	839000	839009	9	0	9	4	0	0
348	839005	839005	839034	29	0	29	4	0	0
349	839207	839207	839215	8	0	8	12	0	0
350	839318	839318	839356	38	0	38	8	0	0
352	839675	839675	839688	13	0	13	1	0	0
351	839667	839667	839689	22	0	22	4	0	0
353	839684	839684	839720	36	0	36	12	0	0
354	839698	839698	839731	33	0	33	8	0	0
355	839706	839706	839751	45	0	45	16	0	0
358	840310	840310	840596	286	0	286	8	0	0
357	840274	840274	840649	375	0	375	4	0	0
356	840262	840262	840701	439	0	439	1	0	0
346	838792	838792	841521	2729	0	2729	32	0	0
334	803580	805686	841619	35933	2106	38039	8	0	0
359	841383	841383	841822	439	0	439	8	0	0
361	841972	841972	842002	30	0	30	4	0	0
362	842183	842183	842192	9	0	9	1	0	0
363	842303	842303	842328	25	0	25	1	0	0
365	842508	842508	842549	41	0	41	8	0	0
366	842823	842823	842888	65	0	65	8	0	0
367	843406	843406	843586	180	0	180	8	0	0
368	843705	843705	844164	459	0	459	1	0	0
370	844502	844502	844540	38	0	38	4	0	0
360	841850	841850	844579	2729	0	2729	32	0	0
372	844964	844964	845224	260	0	260	4	0	0
374	845641	845641	845662	21	0	21	15	0	0
331	800335	805681	847617	41936	5346	47282	4	0	0
371	844951	844951	847672	2721	0	2721	32	0	0
376	845889	847672	847693	21	1783	1804	2	0	0
378	845995	847672	847695	23	1677	1700	1	0	0
379	846336	847693	847720	27	1357	1384	2	0	0
377	845958	847672	847778	106	1714	1820	5	0	0
375	845791	847672	847824	152	1881	2033	50	0	0
389	847297	847824	847832	8	527	535	2	0	0
386	846876	847824	847844	20	948	968	2	0	0
391	847437	847824	847845	21	387	408	2	0	0
393	847440	847824	847845	21	384	405	2	0	0
384	846836	847824	847848	24	988	1012	2	0	0
390	847379	847824	847849	25	445	470	2	0	0
385	846838	847824	847850	26	986	1012	2	0	0
392	847438	847824	847850	26	386	412	2	0	0
383	846712	847824	847853	29	1112	1141	6	0	0
388	847236	847824	847855	31	588	619	4	0	0
396	847478	847853	847858	5	375	380	4	0	0
397	847530	847855	847860	5	325	330	4	0	0
395	847478	847850	847869	19	372	391	2	0	0
399	847542	847860	847872	12	318	330	4	0	0
398	847533	847858	847877	19	325	344	4	0	0
400	847595	847869	847879	10	274	284	4	0	0
382	846707	847824	847890	66	1117	1183	1	0	0
401	847611	847872	847899	27	261	288	4	0	0
403	847961	847961	847970	9	0	9	2	0	0
402	847799	847877	847992	115	78	193	1	0	0
404	847980	847980	848034	54	0	54	2	0	0
380	846456	847720	848067	347	1264	1611	4	0	0
406	848082	848082	848086	4	0	4	1	0	0
407	848082	848082	848086	4	0	4	2	0	0
408	848083	848083	848118	35	0	35	2	0	0
405	847991	847991	848126	135	0	135	2	0	0
409	848142	848142	848175	33	0	33	2	0	0
410	848190	848190	848215	25	0	25	1	0	0
411	848256	848256	848258	2	0	2	4	0	0
412	848504	848504	848519	15	0	15	1	0	0
387	847091	847824	848748	924	733	1657	20	0	0
413	849104	849104	849134	30	0	30	2	0	0
414	849165	849165	849185	20	0	20	2	0	0
415	849466	849466	849476	10	0	10	2	0	0
416	849585	849585	849596	11	0	11	2	0	0
417	849586	849586	849607	21	0	21	2	0	0
419	849645	849645	849661	16	0	16	2	0	0
418	849645	849645	849672	27	0	27	2	0	0
420	849742	849742	849761	19	0	19	6	0	0
421	849753	849753	849796	43	0	43	6	0	0
422	849813	849813	849829	16	0	16	6	0	0
423	849816	849816	849829	13	0	13	6	0	0
424	849817	849817	849840	23	0	23	6	0	0
425	849847	849847	849862	15	0	15	6	0	0
426	849872	849872	849877	5	0	5	8	0	0
429	849934	849934	849942	8	0	8	8	0	0
427	849930	849930	849950	20	0	20	8	0	0
428	849933	849933	849955	22	0	22	8	0	0
431	849998	849998	850012	14	0	14	10	0	0
430	849997	849997	850017	20	0	20	10	0	0
432	850003	850003	850030	27	0	27	10	0	0
435	850060	850060	850070	10	0	10	10	0	0
434	850047	850047	850072	25	0	25	12	0	0
436	850072	850072	850089	17	0	17	12	0	0
437	850077	850077	850095	18	0	18	12	0	0
438	850107	850107	850124	17	0	17	16	0	0
439	850131	850131	850139	8	0	8	12	0	0
440	850181	850181	850186	5	0	5	16	0	0
441	850181	850186	850192	6	5	11	25	0	0
442	850186	850192	850206	14	6	20	16	0	0
443	850204	850204	850225	21	0	21	16	0	0
444	850241	850241	850245	4	0	4	25	0	0
445	850248	850248	850254	6	0	6	25	0	0
446	850262	850262	850266	4	0	4	36	0	0
447	850264	850266	850272	6	2	8	25	0	0
448	850326	850326	850359	33	0	33	36	0	0
449	850340	850359	850374	15	19	34	36	0	0
450	850355	850374	850384	10	19	29	36	0	0
451	850371	850384	850392	8	13	21	1	0	0
452	850405	850405	850414	9	0	9	1	0	0
453	851465	851465	851577	112	0	112	5	0	0
456	852356	852356	852594	238	0	238	2	0	0
457	852776	852776	853016	240	0	240	1	0	0
373	845290	845290	853463	8173	0	8173	12	0	0
433	850008	850008	853543	3535	0	3535	1	0	0
455	852011	852011	853776	1765	0	1765	2	0	0
458	854411	854411	854441	30	0	30	1	0	0
459	854463	854463	854495	32	0	32	4	0	0
460	854479	854479	854496	17	0	17	2	0	0
454	851879	851879	863804	11925	0	11925	3	0	0
381	846595	847778	882950	35172	1183	36355	5	0	0
394	847465	847850	883703	35853	385	36238	17	0	0
369	843811	843811	897099	53288	0	53288	16	0	0
364	842409	842409	900458	58049	0	58049	13	0	0
462	855690	900458	900482	24	44768	44792	6	0	0
463	855691	900458	900495	37	44767	44804	10	0	0
464	855697	900482	900510	28	44785	44813	8	0	0
466	855739	900495	900510	15	44756	44771	2	0	0
467	855739	900495	900517	22	44756	44778	6	0	0
465	855734	900495	900520	25	44761	44786	1	0	0
468	855740	900510	900529	19	44770	44789	8	0	0
469	855745	900517	900538	21	44772	44793	4	0	0
471	855854	900529	900548	19	44675	44694	1	0	0
470	855804	900529	900556	27	44725	44752	10	0	0
472	855863	900529	900561	32	44666	44698	2	0	0
473	855889	900548	900567	19	44659	44678	6	0	0
474	855889	900556	900578	22	44667	44689	8	0	0
475	855895	900567	900586	19	44672	44691	6	0	0
477	855921	900578	900596	18	44657	44675	8	0	0
478	855929	900586	900599	13	44657	44670	1	0	0
479	855961	900586	900600	14	44625	44639	4	0	0
476	855916	900567	900610	43	44651	44694	4	0	0
480	855961	900596	900619	23	44635	44658	2	0	0
482	857534	900610	900630	20	43076	43096	1	0	0
461	855269	897099	906329	9230	41830	51060	82	0	0
483	857881	906329	906412	83	48448	48531	80	0	0
488	864938	906412	906426	14	41474	41488	2	0	0
489	865083	906412	906427	15	41329	41344	2	0	0
485	862406	906412	906434	22	44006	44028	1	0	0
487	864825	906412	906434	22	41587	41609	1	0	0
490	865250	906412	906445	33	41162	41195	4	0	0
494	866233	906412	906456	44	40179	40223	8	0	0
492	865982	906412	906528	116	40430	40546	1	0	0
486	863069	906412	906535	123	43343	43466	1	0	0
499	874144	906535	906540	5	32391	32396	2	0	0
500	874167	906540	906555	15	32373	32388	2	0	0
501	874176	906555	906584	29	32379	32408	2	0	0
502	874177	906584	906610	26	32407	32433	2	0	0
503	874236	906610	906620	10	32374	32384	2	0	0
504	874237	906620	906637	17	32383	32400	2	0	0
491	865931	906412	906735	323	40481	40804	4	0	0
505	874314	906735	906740	5	32421	32426	4	0	0
506	874321	906740	906772	32	32419	32451	4	0	0
507	874365	906772	906795	23	32407	32430	4	0	0
508	874366	906795	906823	28	32429	32457	4	0	0
484	861380	906412	907696	1284	45032	46316	12	0	0
509	874410	907696	907717	21	33286	33307	12	0	0
510	874429	907717	907736	19	33288	33307	12	0	0
511	874460	907736	907753	17	33276	33293	12	0	0
512	874471	907753	907765	12	33282	33294	12	0	0
517	883889	907765	907776	11	23876	23887	1	0	0
518	883910	907765	907876	111	23855	23966	1	0	0
521	888277	907765	907917	152	19488	19640	1	0	0
520	886438	907765	908128	363	21327	21690	1	0	0
493	866123	906412	908182	1770	40289	42059	2	0	0
519	885210	907765	908431	666	22555	23221	1	0	0
496	868765	906412	909160	2748	37647	40395	32	0	0
526	894847	909160	909177	17	14313	14330	3	0	0
529	894875	909160	909180	20	14285	14305	4	0	0
527	894849	909160	909184	24	14311	14335	5	0	0
528	894867	909160	909189	29	14293	14322	3	0	0
530	894877	909177	909253	76	14300	14376	6	0	0
513	880058	907753	909289	1536	27695	29231	1	0	0
514	880943	907753	909519	1766	26810	28576	2	0	0
481	856120	900610	909529	8919	44490	53409	15	0	0
532	896484	909519	909535	16	13035	13051	3	0	0
534	896485	909529	909541	12	13044	13056	5	0	0
535	896486	909529	909554	25	13043	13068	4	0	0
539	896489	909541	909554	13	13052	13065	4	0	0
536	896487	909529	909555	26	13042	13068	5	0	0
538	896489	909541	909555	14	13052	13066	2	0	0
533	896484	909529	909581	52	13045	13097	2	0	0
541	896496	909555	909694	139	13059	13198	8	0	0
543	896500	909694	909705	11	13194	13205	6	0	0
544	896502	909705	909724	19	13203	13222	7	0	0
537	896487	909535	909729	194	13048	13242	2	0	0
542	896497	909581	909747	166	13084	13250	6	0	0
545	896503	909724	909752	28	13221	13249	8	0	0
546	896506	909747	909760	13	13241	13254	8	0	0
547	896509	909752	909777	25	13243	13268	6	0	0
548	896514	909760	909788	28	13246	13274	7	0	0
525	893826	909160	909794	634	15334	15968	6	0	0
550	896526	909777	909807	30	13251	13281	3	0	0
549	896519	909777	909945	168	13258	13426	7	0	0
556	897212	909945	909957	12	12733	12745	4	0	0
555	897211	909945	909959	14	12734	12748	5	0	0
554	896547	909807	909979	172	13260	13432	5	0	0
553	896544	909794	909985	191	13250	13441	4	0	0
559	897233	909985	910001	16	12752	12768	4	0	0
552	896527	909788	910019	231	13261	13492	3	0	0
560	897241	910001	910030	29	12760	12789	6	0	0
557	897217	909959	910068	109	12742	12851	5	0	0
564	897249	910068	910085	17	12819	12836	3	0	0
558	897217	909979	910095	116	12762	12878	6	0	0
563	897248	910068	910096	28	12820	12848	3	0	0
561	897244	910030	910125	95	12786	12881	6	0	0
569	897257	910096	910126	30	12839	12869	3	0	0
570	897258	910125	910139	14	12867	12881	3	0	0
571	897268	910125	910147	22	12857	12879	4	0	0
573	897270	910147	910170	23	12877	12900	5	0	0
562	897247	910030	910189	159	12783	12942	2	0	0
574	897274	910170	910220	50	12896	12946	4	0	0
568	897256	910095	910252	157	12839	12996	2	0	0
566	897251	910095	910264	169	12844	13013	3	0	0
576	897276	910252	910266	14	12976	12990	5	0	0
572	897268	910139	910269	130	12871	13001	4	0	0
